FundCode,FundDescription,ClrBrkrCode,ClrBrkrDesc,ClearingBrokerACDesc,StrategyGroupCode,StrategyGroupDesc,StrategyCode,StrategyDesc,SecurityTypeCode,SecurityTypeDesc,CurrencyCode,SecurityCode,SecurityDesc,CUSIP,ISIN,SEDOL,BBergCode,ExchangeCode,PositionDirection,Qty,LocalTotalCost,BaseTotalCost,LocalMarketPrice,BaseMarketPrice,Mult,LocalMarketValue,BaseMarketValue,FxRate,Bid,Ask,DayTotalPNL,MTDTotalPnL,QTDTotalPnL,YTDTotalPnL,CountryCode,CountryDesc,RegionCode,RegionDesc,IndustryCode,InduDesc,SectorCode,SectorDesc
ABCM,ABC Capital Master Fund L.P.,JPMO,JP MORGAN,ABCM_JPM,EQTY,EQUITIES,VALU,Value Equities,STO,Stock,USD,A,Agilent Technologies Inc,00846U101,US00846U1016,2520153,A,NYSE,L,3500000,142805525.3,142805525.3,41.44,41.44,1,145040000,145040000,1,41.43,41.44,-70000,-1873900,-1873900,460374.73,US,USA,US/CANADA ,US and Canada                           ,194,Electronic Measuring Instruments,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,JPMO,JP MORGAN,ABCM_JPM,EQTY,EQUITIES,VALU,Value Equities,CAL,Call Option,USD,A 02/16/13 C39,A 02/16/13 C39,,,,NULL,AMEX,L,0,0,0,0,0,100,0,0,1,0,0,0,0,0,687346.84,US,USA,US/CANADA ,US and Canada                           ,194,Electronic Measuring Instruments,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,STO,Stock,USD,AAP,Advance Auto Parts Inc,00751Y106,US00751Y1064,2822019,AAP Equity,NYSE,L,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2972592.84,US,USA,US/CANADA ,US and Canada                           ,TEMP,TEMP Industry,,
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,VALU,Value Equities,CAL,Call Option,USD,AAPL 02/16/13 C540,AAPL 02/16/13 C540,,,,NULL,AMEX,L,0,0,0,0,0,100,0,0,1,0,0,0,0,0,-1312142.81,US,USA,US/CANADA ,US and Canada                           ,668,Computers,TECHNOLOGY,Technology
ABCM,ABC Capital Master Fund L.P.,JPMO,JP MORGAN,ABCM_JPM,EQTY,EQUITIES,VALU,Value Equities,CAL,Call Option,USD,A 02/16/13 C44,A 02/16/13 C44,,,,NULL,AMEX,S,0,0.01,0.01,0,0,100,0.02,0.02,1,0,0,0,0,0,-519062,US,USA,US/CANADA ,US and Canada                           ,194,Electronic Measuring Instruments,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,JPMO,JP MORGAN,ABCM_JPM,EQTY,EQUITIES,VALU,Value Equities,CAL,Call Option,USD,A 02/16/13 C43,A 02/16/13 C43,,,,NULL,AMEX,S,0,0,0,0,0,100,0,0,1,0,0,0,0,0,-54288.5,US,USA,US/CANADA ,US and Canada                           ,194,Electronic Measuring Instruments,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,STO,Stock,USD,ACT,Actavis Inc,00507K103,US00507K1034,B7XPCV5,ACT,NYSE,L,965878,81796212.99,81796212.99,105.73,105.73,1,102122280.9,102122280.9,1,105.66,105.71,229438.2,9696230.68,9696230.68,16571302.85,US,USA,US/CANADA ,US and Canada                           ,117,Medical Products,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,STO,Stock,USD,ADT,ADT Corp,00101J106,US00101J1060,B7XWRM2,ADT,NYSE,L,0,0.03,0.03,0,0,1,0.02,0.02,1,0,0,0,0,0,3938326.53,US,USA,US/CANADA ,US and Canada                           ,902,Industrials,INDUSTRIAL,Industrials
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,PUT,Put Option,USD,ACT 03/16/13 P80,ACT 03/16/13 P80,,,,NULL,AMEX,L,0,0,0,0,0,100,0,0,1,0,0,0,0,0,54424.94,US,USA,US/CANADA ,US and Canada                           ,117,Medical Products,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,CAL,Call Option,USD,ACT 03/16/13 C90,ACT 03/16/13 C90,,,,NULL,AMEX,S,0,0,0,0,0,100,0,0,1,0,0,0,0,0,588578.99,US,USA,US/CANADA ,US and Canada                           ,117,Medical Products,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,EVNT,Event Equities,CAL,Call Option,USD,ACT 05/18/13 C90,ACT 05/18/13 C90,,,,NULL,AMEX,S,-4999,-564685.66,-564685.66,15.85,15.85,100,-7923415,-7923415,1,0,0,-98527.96,-5923527.96,-5923527.96,-7358729.34,US,USA,US/CANADA ,US and Canada                           ,117,Medical Products,HEALTHCARE,Healthcare
ABCM,ABC Capital Master Fund L.P.,GSCO,Goldman Sachs,ABCM_GSCO,EQTY,EQUITIES,VALU,Value Equities,CAL,Call Option,USD,AAPL 02/16/13 C640,AAPL 02/16/13 C640,,,,NULL,AMEX,S,0,0,0,0,0,100,0,0,1,0,0,0,0,0,335584.6,US,USA,US/CANADA ,US and Canada                           ,668,Computers,TECHNOLOGY,Technology
